식품명,칼로리,탄수화물,단백질,지방,섭취량
군만두,1039,85.49,85.59,38.98,953g
군밤,70,15.00,1.00,1.00,5 pieces
군밤,245,52.96,3.17,2.20,100g
군밤,80,17.00,2.00,1.00,5 pieces
귤,35,11.00,0.50,0.25,1 orange
귤,53,13.34,0.81,0.31,100g
귤,70,18.00,1.00,0.00,2 mandarins
그라탕,132,11.27,5.06,7.59,100g
그라탕,N/A,N/A,N/A,N/A,N/A
그라탕,110,14.00,3.00,5.00,1 piece
그린올리브,25,0.00,0.00,2.50,5 olives
그린올리브,30,1.00,0.00,3.00,4 olives
그린올리브,145,3.84,1.03,15.32,100g
김,30,1.00,1.00,2.00,1 package
김,N/A,N/A,N/A,N/A,N/A
김,152,33.72,9.52,1.04,400g
김구이,27,5.17,2.10,0.28,127g
김구이,460,20.06,26.02,31.61,365g
김구이,810,25.27,54.85,53.87,574g
김밥,140,23.00,4.00,4.00,3 pieces
김밥,370,70.00,11.00,8.00,1 roll
김밥,397,71.00,12.00,5.00,1 roll
김치국,30,6.00,2.00,0.00,1 cup
김치국,15,3.00,1.00,0.00,1 oz
김치국,10,1.00,1.00,0.00,1 oz
김치볶음밥,210,45.00,4.00,1.50,1 cup
김치볶음밥,300,58.00,6.00,6.00,1 cup
김치볶음밥,1546,193.87,58.03,57.38,1023g
김치찌개,260,43.00,11.00,6.00,1 container
김치찌개,N/A,N/A,N/A,N/A,N/A
김치찌개,426,46.08,23.48,19.52,1467g
까르보나라,3410,459.24,143.74,94.81,1786g
까르보나라,440,33.00,22.00,24.00,1 cup
까르보나라,N/A,N/A,N/A,N/A,N/A
까망베르치즈,300,0.46,19.80,24.26,100g
까망베르치즈,361,1.87,23.52,28.85,100g
까망베르치즈,87,2.62,12.92,2.53,100g
깐풍기,30,6.00,2.00,0.00,1 cup
껌,268,94.80,0.00,0.40,100g
껌,247,66.08,0.00,0.30,100g
껌,5,1.00,0.00,0.00,1 piece
꼬막,N/A,N/A,N/A,N/A,N/A
꼬막,190,39.00,2.00,3.00,1 package
꼬막,1140,46.00,43.00,88.00,1 serving
꿀,304,82.40,0.30,0.00,100g
꿀,60,17.00,0.00,0.00,1 tbsp
꿀,304,82.40,0.30,0.00,100g
나가사끼짬뽕,500,83.00,9.00,15.00,1 package
나가사끼짬뽕,N/A,N/A,N/A,N/A,N/A
나가사끼짬뽕,N/A,N/A,N/A,N/A,N/A
나시고랭,386,98.94,0.00,0.00,100g
나시고랭,84,20.66,0.04,0.01,100g
나시고랭,84,20.66,0.04,0.01,100g
낙지볶음,82,2.20,14.91,1.04,100g
낙지볶음,2043,116.25,184.05,88.00,1086g
낙지볶음,164,4.40,29.82,2.08,100g
낫또,80,6.00,6.00,3.50,1 pack
낫또,100,9.00,8.00,3.50,1 pack
낫또,212,14.36,17.72,11.00,100g
냉면,339,0.00,19.43,28.36,100g
냉면,208,3.60,14.63,14.66,100g
냉면,158,17.99,7.74,5.80,586g
냉채족발,215,0.20,19.40,14.60,100g
냉채족발,232,0.00,21.94,16.05,100g
냉채족발,339,0.00,19.43,28.36,100g
노랑파프리카,289,55.74,14.76,12.95,100g
노랑파프리카,72,18.13,1.74,0.42,100g
노랑파프리카,210,41.28,5.45,5.80,170g
녹색피망,N/A,N/A,N/A,N/A,N/A
녹색피망,20,4.64,0.86,0.17,100g
녹색피망,N/A,N/A,N/A,N/A,N/A
녹즙,90,18.00,5.00,0.00,1 bottle
녹즙,25,4.00,2.00,0.00,1 serving
녹즙,50,10.00,2.00,0.00,1 cup
누텔라,200,22.00,2.00,11.00,2 tbsp
누텔라,140,18.00,2.00,7.00,2 cookies
누텔라,260,34.00,4.00,13.00,1 package
느타리버섯,35,6.43,3.34,0.44,100g
느타리버섯,22,3.28,3.09,0.34,100g
느타리버섯,56,14.39,1.56,0.22,100g
다시마,43,9.57,1.68,0.56,100g
다시마,152,33.72,9.52,1.04,400g
다시마,6,3.00,0.00,0.00,1 serving
다크초콜릿,70,6.00,1.00,4.50,2 pieces
다크초콜릿,50,6.00,1.00,4.00,1 square
다크초콜릿,170,14.00,2.00,15.00,3 squares
단감,110,18.00,2.00,3.00,1 serving
단감,140,23.00,1.00,5.00,5 cookies
단감,110,20.00,2.00,3.00,5 cookies
단호박,115,19.90,2.71,4.39,251g
단호박,N/A,N/A,N/A,N/A,N/A
